art,t,bpm,g,ln,s
LamazeP,Triple Baka,180,10,3,1224831
MAX COVERI,RUNNING IN THE 90'S,158.5,3,2,739262
Pet na Kanojotachi,Kimi ga Yume wo Tsuretekita (TV Size),135,3,3,61684
Uchida Maaya,Tsubomi Yume Miru Rhapsodia ~Alma no Michibiki~,184,2,3,110292
Linked Horizon,Guren no Yumiya (TV Size),180.68,3,3,87630
Kobaryo,Cross The Finish Line [feat. Nanahira],260,10,3,1245739
ClariS,Connect,175,3,3,539122
UNDEAD CORPORATION,Yoru Naku Usagi wa Yume wo Miru,200,2,3,59049
Denji Sano,Taiko Time,170,2,5,24320
Various Artists,Ochame Kinou,150,5,3,1147932
Nanahoshi Kangengakudan,Rubik's Cube,174,4,3,837869
HTT,"NO, Thank You! (Full Ver.)",181,3,3,18841
t+pazolite,Party in the HOLLOWood feat. Nanahira,177,10,3,819349
Halozy,Dut ~Usagi Tobi Suteppu~,175,2,3,64278
Shirakami Fubuki,Say! Fanfare!,170,5,3,1146524
senya,Kasoku Suru Koi wa Dare mo Tomerarenai,168,2,3,80747
Cascada,Bad Boy (Nightcore Mix),169.4,10,2,72051
raja,the light,90,5,2,299224
bibuko,Reizouko Mitara Pudding ga Nai,190,4,3,90068
t+pazolite,illanai-assorted,191,10,5,831403
jun,KIMONO <3 PRINCESS,190,2,2,19691
Eve,Dramaturgy,149,4,3,1243675
Omoi,Snow Drive (01.23),224,4,3,1274884
marina,Towa yori Towa ni,200,2,3,143370
Kyary Pamyu Pamyu,PONPONPON,128,5,3,36225
Kawada Mami,No buts!,183,3,3,23254
Thaehan,Doki-Doki,180,10,5,626006
Seiryu,Critical Crystal,191,2,5,138311
Imperial Circus Dead Decadence,Shinbatsu o Tadori Kyoukotsu ni Itaru,250,11,3,1070409
Zeami feat. Ayane,Senpuu no Mai (AC ver.),160.04,2,3,21691
Nogizaka46,Yubi Bouenkyou ~Anime-ban~,180,3,3,623924
IOSYS,Cirno's Perfect Math Class,175,2,3,25739
ClariS,Hitorigoto -TV MIX-,165,3,3,599387
Hatsune Miku,World is Mine,82.5,4,3,6687
DECO*27 feat. Hatsune Miku,Streaming Heart,210,4,3,160466
"Fear, and Loathing in Las Vegas",Just Awake (TV Size),191,3,3,56403
P*Light,NINJA IS DEAD IIDX ver.,222,2,5,590032
RIOT,Overkill,174,10,5,929698
9mm Parabellum Bullet,Inferno,195,3,3,481954
AKINO with bless4,Yuki no Youni,184,5,3,630705
Niko,Night of Fire,157.71,2,2,18923
Maksim Mrvica,Croatian Rhapsody,96,12,5,54016
YOASOBI,Yoru ni Kakeru,130,5,3,1218852
THE ORAL CIGARETTES,Kyouran Hey Kids!!,142,3,3,372510
Halozy,Masshiro na Yuki,170,2,3,633705
EGOIST,The Everlasting Guilty Crown (ETIA. Hardcore Bootleg Remix),172,3,3,779872
Pedro Silva,World's End Valentine,162,10,5,1504327
TWICE,CHEER UP,173,5,6,456547
yanaginagi,Muteki no Soldier,210,4,3,52221
Dark PHOENiX,Stirring an Autumn Moon,194,2,5,16650
May'n,Chase the world (TV Size),170,3,3,50988
Cres,End Time,180,2,5,73474
t+pazolite,Candy Crack Curtain Call,240,10,5,237272
MitiS & MaHi,Blu (Speed Up Ver.),167.56,10,5,261911
LeaF,Wizdomiot,200,2,5,352682
Meg & Dia,Monster (DotEXE Remix),140,10,2,157896
Remo Prototype (CV: Hanamori Yumiri),Sendan Life (katagiri Bootleg),260,10,3,1118054
Team:SASAKURATION,AVALON,200,2,5,118763
Helblinde,Putin's Boner,200,10,5,737714
T.M.Revolution x Mizuki Nana,Preserved Roses -Anime Version-,167,3,3,112416
Suzuki Konomi,CHOIR JAIL,181,3,3,172688
Yorushika,"Hachigatsu, Bou, Tsukiakari",220,4,3,1194332
96neko,Uso no Hibana,188,3,3,1089866
ClariS,CLICK(Soleily Remix),166,3,3,609391
Halozy,Genryuu Kaiko,173,2,3,286460
Skrillex,Kyoto (feat. Sirah),87.5,10,2,55226
Kaede To Kyo Aki Ame Kuzu,Q,240,4,3,1121548
3 Nen E Gumi Utatan (Nagisa & Kayano & Karuma & Isogai & Maehara),Bye Bye YESTERDAY,180,3,3,480765
Koda Kumi,Guess Who Is Back (TV Size),183,3,3,906786
Renard,Bumblefuck,220,10,5,243045
DUSTCELL,DERO,170,9,3,1478599
ONE OK ROCK,Mikansei Koukyoukyoku,195,4,3,667682
Lily,Lily Lily Burning Night,165,10,3,20752
DJ SPIZDIL,Malo Tebya,181.6,10,12,1433215
Panda Eyes,On My Own,174,10,5,1065837
PSYQUI,Multitalents,160,10,5,1013224
Will Stetson,Super Driver,200,3,3,805224
REDALiCE,Haachama Haachamatchama,170,7,3,1152904
Rohi,Kodoku Egoism,185,10,3,1175341
"Onocchi, Xenon",Suigetsu Kyouka Koubou Issen,100,11,5,294471
IOSYS,Danzai Yamaxanadu,175,2,3,13654
MomoKuro-tei Ichimon,Nippon Egao Hyakkei (TV Size),160,3,3,74301
Tatsh,IMAGE -MATERIAL- <Version 0>,130,10,5,93523
Vickeblanka,Black Rover,204,3,3,913669
Dan Winter,Don't Stop Push It Now (Nightcore Mix),175.26,10,2,200374
nano,"No pain, No game",190,3,3,64969
Yorushika,Itte.,180,4,3,1127175
UNDEAD CORPORATION,Everything will freeze,240,11,2,1130197
Usada Pekora,Discommunication Alien,170,5,3,1181343
Masayoshi Minoshima ft. nomico,Bad Apple!!,137.98,2,3,10435
Turbo,PADORU / PADORU,190,10,3,1073074
t+pazolite,Against Gilgamesh,185,2,5,39816
nano,MY LIBERATION,190,3,3,585896
S3RL,Bass Slut,175,10,2,1227249
Little Glee Monster,"Dakara, Hitori ja Nai -TV Size-",180,3,3,631624
Nakiri Ayame,KING,166,5,3,1446994
TORIENA,Chewingood!!!,190,2,3,1501192
succducc,me & u,160,10,2,1222538
MAZARE,Mazare Party,200,5,3,667868
t+pazolite,Surf Zapping,200,2,5,782076
WAGAMAMA RAKIA,SURVIVE,220,4,3,1391348
Dark PHOENiX,Taketori Hishou,192,2,5,19320
Araki,Teo,185,4,3,759178
CustomiZ,COOLEST,188,3,3,460893
Rohi,Kodoku Egoism,185,10,3,58737
YUC'e,Future Cider,180,10,3,1223024
Todd 'LilDeuceDeuce' Bryanton,EVERYBODY DO THE FLOP!,200,4,2,342966
MomoKuro-tei Ichimon,Nippon Egao Hyakkei,160,3,3,72119
ATC,Around The World (Nightcore Mix),157.13,10,2,25707
EMILIA (CV: Takahashi Rie),Stay Alive (Jun Kuroda Bootleg Remix),174,3,3,745213
IOSYS,Power of Dream (Night Fever Refix),180,2,3,27152
DECO*27,Reversible Campaign,190,4,3,555581
yanaginagi,Tokohana (TV Size),150,3,3,166583
Stonebank,The Pressure,170,10,5,325307
Avizura,Lucky Star,175,10,2,130546
Sakamoto Maaya,Okaerinasai (tomatomerde Remix),176,3,3,544468
NOMA,Brain Power,170,10,2,357777
Kuki Akumu,Ki ga Kurutta Noise,180,10,5,1237796
Dunderpatrullen,We Are Number One (Remix),168,7,2,547301
EVO+,[A]ddiction,164,5,3,378803
The Quick Brown Fox,The Big Black,180.15,10,5,1356632
USAO,Showdown,178,10,5,438839
Reku Mochizuki,Faith of Eastward,175,10,5,1609365
Zeami feat. Ayane,Senpuu no Mai (CS ver.),160,2,3,19013
MY FIRST STORY,Itsuwari NEUROSE,188,4,3,548878
Roselia,Six Trillion Years and Overnight Story,85,2,3,790060
Fractal Dreamers,Gardens Under A Spring Sky,195,10,5,1080892
sweet ARMS,Installation,215,2,3,318778
Yuu,U.N. Owen was Her?,157,2,5,7104
toby fox,Last Goodbye,180,2,5,744772
MuryokuP,Sweet Sweet Cendrillon Drug,195,11,3,72834
S3RL,MTC (Different Heaven Remix),175,10,2,914691
ragey,Shoujo Rei,150,5,3,894891
Turbo,PADORU / PADORU,190,10,3,1061287
ClariS,Colorful -movie MIX-,178,3,3,127683
Travis Scott,SICKO MODE feat. Drake,77.5,9,2,1295138
*namirin,Koi no Hime Hime Pettanko,178,3,3,485056
