art,t,bpm,g,ln,s
Tominaga Tommy Hiroaki,JoJo ~Sono Chi no Sadame~,146,3,3,759176
Bangbros,Yeah Yeah Yeah! (Nightcore Mix),162.17,10,2,53096
Herve Lavandier,Shuriken School (TV Size),160,3,5,1114339
Jashin*Girls,Anoko ni Drop Kick (TV Size),230,3,3,1466437
Gawr Gura,RIDE ON TIME (REDALiCE's CITY POP SHARK Remix),128,5,3,1354675
FLOW,COLORS,136,3,3,730452
Akiko Shikata,Katayoku no Tori,110,3,3,317968
CustomiZ,COOLEST (TV Size),188,3,3,1258175
Goose house,Hikaru nara -TV size-,160,3,3,223180
BABYMETAL,Road of Resistance,205,11,3,1183643
IOSYS,Neko Miko Reimu,160,2,3,9264
Phineas and the Ferb-Tones,Gitchee Gitchee Goo (Extended),163.05,3,2,27246
Stonebank,Who's Got Your Love,170,10,5,496549
Toby Fox,Beginning,138,2,5,1055790
toby fox,MEGALOVANIA (Camellia Remix),242,2,5,1038635
Ni-Sokkususu,Blade Dance,187,3,3,745312
Stonebank,Stronger (feat. EMEL),170,10,5,273711
Hanasaka Yui(CV: M.A.O),Harumachi Clover,142,3,3,652412
Ayane,FaV -F*** and Vanguard-,190,2,3,452690
Project Grimoire,Excalibur ~Revived resolution~,200,2,5,1514014
senya,Songs Compilation,121,2,3,119891
Naoki & Tatsh,Red Zone,165,2,5,5731
Shawn Mendes,Stitches,150,5,2,354163
UNDEAD CORPORATION,Everything will freeze,240,11,2,1293905
Halozy,Genryuu Kaiko,173,2,3,253969
Machico,fantastic dreamer(TV-size),185,3,3,483175
Mikakuning!,Tomadoi Recipe (TV Size),170,3,3,152249
Helblinde,Above the Clouds,180,10,5,501962
Rish feat. Choko,Punai Punai Sensou,271,10,3,1109546
Y&Co. feat. Karin,Sweet Rain,155,2,3,738169
Reol,Streaming Heart,210,4,3,339335
ASIAN KUNG-FU GENERATION,Re:Re:,155,3,3,426693
ClariS,Songs Compilation,135,5,3,99506
SID,Monochrome No Kiss (TV Size),150,3,3,16906
Nightcore,Hymn,212.55,10,2,11951
senya,Koakuma Apple (EUROBEAT Remix),157,10,3,44300
Kirsten Price,We Will Be Heroes,145,3,2,579551
Fujiwara Chika (CV: Kohara Konomi),Chikatto Chika Chika (TV Size),178,3,3,921889
